NAME,E,Protein,Lipit,Carbs,Fi,Cholesterol,Canxi,Photpho,Fe,Natri,Kali,B.Ca,A,b1,c
Bánh bột lọc,487,13.2,20.2,62.7,0.73,0,0,0,0,0,0,0,0,0,0
Bánh flan (x4),264,6.8,6.4,45.2,0,0,0,0,0,0,0,0,0,0,0
Xúc xích,428,21.76,37.92,0,0,0,5.6,111.2,1.52,0,0,0,0,0.272,0
Trứng luộc,332,29.6,23.2,1,0,12,1.1,4.2,0.054,3.16,3.52,5.62,14,0.0032,0
Súp cua,451.32,50.86,4.28,52.4,3.16,168,420.72,569.48,14.4,845.6,1279.2,4282.5,409.5,0.1418,31.2
Sữa bắp,359.6,10.41,10.18,56.56,0.72,30,285.5,316.7,1.3,380,0,149,79,0.206,1
Bột đậu,311.25,20.82,4.845,46.555,6.065,0,72.7,292.25,5.54,2.4,604,16.5,4.25,0.372,2.1
